sku,name,brand,category,subcategory,description,material,sizes,color,pack_qty,case_qty,price,bulk_price,image_url,in_stock,featured
GLV-GL-N105FX,ProWorks Nitrile Exam Gloves - Powder Free,Hospeco,Disposable Gloves,Nitrile,Premium quality nitrile exam gloves. Powder-free latex-free formula provides excellent tactile sensitivity and durability. Textured fingertips for enhanced grip. Ideal for medical food service and industrial applications.,Nitrile,S M L XL,Blue,100,1000,12.99,9.99,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,1
GLV-GL-N105FB,ProWorks Nitrile Gloves - Black,Hospeco,Disposable Gloves,Nitrile,Professional-grade black nitrile gloves. Perfect for automotive tattoo and salon industries. Powder-free and latex-free with superior puncture resistance.,Nitrile,S M L XL 2XL,Black,100,1000,14.99,11.49,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,1
GLV-GL-L101F,ProWorks Latex Exam Gloves - Powder Free,Hospeco,Disposable Gloves,Latex,High-quality latex exam gloves with excellent elasticity and comfort. Powder-free formula reduces allergic reactions. Beaded cuff for easy donning.,Latex,S M L XL,Natural,100,1000,10.99,7.99,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
GLV-GL-V104F,ProWorks Vinyl Gloves - Powder Free,Hospeco,Disposable Gloves,Vinyl,Economical vinyl gloves for light-duty applications. Latex-free and powder-free. Ideal for food handling janitorial and general purpose use.,Vinyl,S M L XL,Clear,100,1000,7.99,5.49,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
GLV-GL-N108FX,ProWorks Nitrile Gloves - 8 Mil Heavy Duty,Hospeco,Disposable Gloves,Nitrile,Heavy-duty 8 mil nitrile gloves for industrial applications. Superior chemical resistance and puncture protection. Textured surface for enhanced grip.,Nitrile,M L XL 2XL,Blue,50,500,18.99,14.99,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,1
GLV-705PFE,Panther-Guard Nitrile Gloves - Industrial Grade,Global Glove,Disposable Gloves,Nitrile,Industrial grade nitrile gloves with exceptional chemical resistance. 5 mil thickness provides durability for demanding applications. Textured for excellent wet and dry grip.,Nitrile,S M L XL 2XL,Blue,100,1000,15.99,12.49,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,1
GLV-705PFB,Panther-Guard Nitrile Gloves - Black,Global Glove,Disposable Gloves,Nitrile,Black nitrile gloves with 5 mil thickness. Ideal for automotive mechanics tattoo artists and industrial workers. Superior grip and durability.,Nitrile,S M L XL 2XL,Black,100,1000,16.99,13.49,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
GLV-SAM-500,Samurai Cut Resistant Gloves - ANSI A5,Global Glove,Work Gloves,Cut Resistant,ANSI A5 cut resistant gloves with HPPE yarn construction. Excellent dexterity and flexibility. Machine washable. Ideal for food processing and manufacturing.,HPPE/Nitrile,S M L XL 2XL,Green,12,72,89.99,69.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,1
GLV-SAM-300,Samurai Cut Resistant Gloves - ANSI A3,Global Glove,Work Gloves,Cut Resistant,ANSI A3 cut resistant gloves with HPPE and steel core yarn. Balanced protection and dexterity. Perfect for general manufacturing and assembly.,HPPE/Steel,S M L XL 2XL,Silver,12,72,64.99,51.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-FRG-200,FrogWear Coated Work Gloves,Global Glove,Work Gloves,Coated,Foam nitrile coated work gloves with excellent grip. 15-gauge shell for dexterity. Ideal for general assembly and material handling.,Nylon/Nitrile,S M L XL,Gray,12,144,42.99,33.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&h=400&fit=crop,1,0
GLV-SAF-N100,Safeko Nitrile Exam Gloves - Premium,Safeko,Disposable Gloves,Nitrile,Premium nitrile exam gloves with superior fit and feel. 4 mil thickness balances protection and sensitivity. Micro-textured surface for precise handling.,Nitrile,XS S M L XL,Blue,100,1000,13.49,10.49,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
GLV-SAF-N200,Safeko Nitrile Gloves - Food Service,Safeko,Disposable Gloves,Nitrile,FDA compliant nitrile gloves for food handling. Blue color for easy detection. Powder-free and ambidextrous design.,Nitrile,S M L XL,Blue,100,1000,11.99,8.99,https://images.unsplash.com/photo-1584433144859-1fc3ab64a957?w=400&h=400&fit=crop,1,0
