sku,name,brand,category,subcategory,description,material,sizes,color,pack_qty,case_qty,price,bulk_price,image_url,in_stock,featured
GLV-GL-N105FX,ProWorks Nitrile Exam Gloves - Powder Free,Hospeco,Disposable Gloves,Nitrile,Premium quality nitrile exam gloves. Powder-free latex-free formula provides excellent tactile sensitivity and durability. Textured fingertips for enhanced grip. Ideal for medical food service and industrial applications.,Nitrile,S M L XL,Blue,100,1000,12.99,9.99,https://via.placeholder.com/400x400/FFFFFF/0066CC?text=Blue+Nitrile,1,1
GLV-GL-N105FB,ProWorks Nitrile Gloves - Black,Hospeco,Disposable Gloves,Nitrile,Professional-grade black nitrile gloves. Perfect for automotive tattoo and salon industries. Powder-free and latex-free with superior puncture resistance.,Nitrile,S M L XL 2XL,Black,100,1000,14.99,11.49,https://via.placeholder.com/400x400/FFFFFF/000000?text=Black+Nitrile,1,1
GLV-GL-L101F,ProWorks Latex Exam Gloves - Powder Free,Hospeco,Disposable Gloves,Latex,High-quality latex exam gloves with excellent elasticity and comfort. Powder-free formula reduces allergic reactions. Beaded cuff for easy donning.,Latex,S M L XL,Natural,100,1000,10.99,7.99,https://via.placeholder.com/400x400/FFFFFF/FFFFCC?text=Latex+Gloves,1,0
GLV-GL-V104F,ProWorks Vinyl Gloves - Powder Free,Hospeco,Disposable Gloves,Vinyl,Economical vinyl gloves for light-duty applications. Latex-free and powder-free. Ideal for food handling janitorial and general purpose use.,Vinyl,S M L XL,Clear,100,1000,7.99,5.49,https://via.placeholder.com/400x400/FFFFFF/CCCCCC?text=Vinyl+Gloves,1,0
GLV-705PFE,Panther-Guard Nitrile Gloves - Industrial Grade,Global Glove,Disposable Gloves,Nitrile,Industrial grade nitrile gloves with exceptional chemical resistance. 5 mil thickness provides durability for demanding applications. Textured for excellent wet and dry grip.,Nitrile,S M L XL 2XL,Blue,100,1000,15.99,12.49,https://via.placeholder.com/400x400/FFFFFF/0066CC?text=Panther+Guard,1,1
GLV-SAM-500,Samurai Cut Resistant Gloves,Global Glove,Work Gloves,Cut Resistant,ANSI A5 cut resistant gloves with HPPE yarn construction. Excellent dexterity and flexibility. Machine washable.,HPPE/Nitrile,S M L XL 2XL,Green,12,72,89.99,69.99,https://via.placeholder.com/400x400/FFFFFF/00AA00?text=Samurai+Cut+A5,1,1
GLV-FRG-200,FrogWear Coated Work Gloves,Global Glove,Work Gloves,Coated,Foam nitrile coated work gloves with excellent grip. 15-gauge shell for dexterity. Ideal for general assembly and material handling.,Nylon/Nitrile,S M L XL,Gray,12,144,42.99,33.99,https://via.placeholder.com/400x400/FFFFFF/666666?text=FrogWear,1,0
GLV-SAF-N100,Safeko Nitrile Exam Gloves - Premium,Safeko,Disposable Gloves,Nitrile,Premium nitrile exam gloves with superior fit and feel. 4 mil thickness balances protection and sensitivity. Micro-textured surface for precise handling.,Nitrile,XS S M L XL,Blue,100,1000,13.49,10.49,https://via.placeholder.com/400x400/FFFFFF/0066CC?text=Safeko+Nitrile,1,0
GLV-SAF-N200,Safeko Nitrile Gloves - Food Service,Safeko,Disposable Gloves,Nitrile,FDA compliant nitrile gloves for food handling. Blue color for easy detection. Powder-free and ambidextrous design.,Nitrile,S M L XL,Blue,100,1000,11.99,8.99,https://via.placeholder.com/400x400/FFFFFF/0066CC?text=Food+Service,1,0
GLV-PIP-34874,MaxiFlex Ultimate Gloves,PIP,Work Gloves,Coated,Industry-leading coated work gloves with micro-foam nitrile. 360-degree breathability with patented coating technology. Silicone-free.,Nylon/Nitrile,XS S M L XL 2XL 3XL,Gray/Black,12,144,48.99,38.99,https://via.placeholder.com/400x400/FFFFFF/333333?text=MaxiFlex+Ultimate,1,1
